anchor_player_id,anchor_player_name,partner_player_id,partner_player_name,pair_key,ball_companion_fit_score,ball_companion_rank_for_anchor,ball_CB_pair_fit_z_score,ball_coverage_gain_raw,ball_coverage_gain_z_within_anchor,ground_companion_fit_score,ground_companion_rank_for_anchor,ground_CB_pair_fit_z_score,ground_coverage_gain_raw,ground_coverage_gain_z_within_anchor,aerial_companion_fit_score,aerial_companion_rank_for_anchor,aerial_CB_pair_fit_z_score,aerial_coverage_gain_raw,aerial_coverage_gain_z_within_anchor,ground_companion_fit_score_z_within_anchor,aerial_companion_fit_score_z_within_anchor,ball_companion_fit_score_z_within_anchor,global_companion_fit_score_z_within_anchor,global_companion_rank_for_anchor,global_companion_rank_for_anchor_z_score
578325,W. Saliba,627012,Murillo,578325__627012,0.7443679544301637,29,0.5308245416476901,0.1328862290559071,1.1409485781690432,0.0855150859835614,39,0.2725701952038498,0.0603563464600285,-0.2618729739969741,0.0447282176416815,45,0.5161060221121515,0.0,-0.8306877049463341,-0.1882033834184602,-0.7039881139136789,0.4986210060414334,-0.13119016376356857,39,-0.41909906717033446
578325,W. Saliba,412027,E. Konsa,412027__578325,-0.0074292015294089,61,0.4271953437592826,0.0,-0.8145890713512648,0.7890865974827441,8,0.2765953429247094,0.1899721570527955,1.7408560702333804,-0.0888644811270432,55,0.3105787932371902,0.0,-0.8306877049463341,1.2622102294158963,-0.9480003539378089,-0.7776486107338194,-0.15447957841857732,40,-0.4749789427930457
578325,W. Saliba,413002,K. Mavropanos,413002__578325,0.0407545762196859,52,0.501324232604044,0.0,-0.8145890713512648,0.1590168424920086,32,0.6480153425354884,0.0288217077888927,-0.7491232290173111,0.4670868721324086,25,0.9013630675277228,0.0434891000693743,-0.3394260621731746,-0.036679413978700004,0.06746633176885253,-0.6958506269623458,-0.22168790305739774,41,-0.530858818415757
578325,W. Saliba,346131,T. Chalobah,346131__578325,-0.049353457541402,65,0.3626964883562164,0.0,-0.8145890713512648,0.5243022080225834,22,0.5900135299080624,0.103339209188309,0.4022668959495508,0.1305315375286764,39,0.6481111296306051,0.0,-0.8306877049463341,0.7163568560740493,-0.5472650258998737,-0.8488202741670492,-0.22657614799762452,42,-0.5867386940384682
578325,W. Saliba,488453,L. Martínez,488453__578325,0.7317656027434971,30,0.8387537478948281,0.0915787916545981,0.5330733331767394,0.1995709639921242,31,0.4480407767554848,0.0603563464600285,-0.2618729739969741,-0.2634901332970819,64,0.0419239437448231,0.0,-0.8306877049463341,0.04692296178402936,-1.2669608730710695,0.47722693926409937,-0.24760365734098025,43,-0.6426185696611795
578325,W. Saliba,415917,Gabriel Magalhaes,415917__578325,0.2557772164206225,39,0.7767604190988708,0.0069874218981254,-0.7117630171246958,-0.0831085829861612,50,0.0131491660196611,0.0603563464600285,-0.2618729739969741,0.4663397022322286,27,0.8555034019545137,0.0508396398331177,-0.256392882966301,-0.5358213027378725,0.06610159699889953,-0.3308228260032137,-0.2668475105807289,44,-0.6984984452838907
578325,W. Saliba,604320,J. Branthwaite,578325__604320,0.50517069168526,33,0.5837110823534472,0.0797709092562415,0.3593099661586266,-0.172575661946176,56,0.0779731426275035,0.0360212865605979,-0.6378805847258666,0.3354250639399091,32,0.7678886064785967,0.0321317024969378,-0.4677215150605108,-0.7202578057844893,-0.17301906181015952,0.09255376245432945,-0.26690770171343975,45,-0.754378320906602
578325,W. Saliba,447424,C. Bassey,447424__578325,0.8563545911842407,26,0.7231654866147896,0.1303554394831046,1.10370578538465,-0.1099682932297463,51,0.4739862236597766,0.0,-1.1944552531674322,-0.0828847968499653,53,0.3197783075096178,0.0,-0.8306877049463341,-0.591192631362408,-0.9370782289374533,0.6887323157758388,-0.27984618150800744,46,-0.8102581965293132
578325,W. Saliba,50102,F. Schär,50102__578325,0.958221450455145,22,0.6791358849457096,0.1556898033376796,1.4765232149726677,-0.4964059523073116,69,-0.1205332518441698,0.0,-1.1944552531674322,0.1004937560428486,41,0.4566230826650896,0.0238839952441689,-0.560889279112742,-1.387834382879082,-0.6021301975242687,0.8616640386656852,-0.3761001805792219,47,-0.8661380721520245
578325,W. Saliba,501419,J. Todibo,501419__578325,-0.1213040541555258,74,0.2520032627960258,0.0,-0.8145890713512648,0.5409273868264458,20,0.5314121836996384,0.1134569257272269,0.5585984783476596,-0.1560919484850184,58,0.2071519203787669,0.0,-0.8306877049463341,0.7506296844345182,-1.0707939276312917,-0.9709654028623705,-0.43037654868638137,48,-0.9220179477747358
