,player.id,player.name,minutes_played,total_duels,yellow_cards,red_cards,duel_success_rate,possession_win_rate,discipline,card_discipline,duels_per90,interceptions_per90,z_duel_success_rate,z_possession_win_rate,z_discipline,z_card_discipline,z_duels_per90,z_interceptions_per90,CB_ground_duels_quality_z_score,CB_rank_for_ground_duels_quality,CB_rank_for_ground_duels_quality_z_score
23,777938,Dean Huijsen,2457.0,153,1,0,0.7254901960784313,0.27450980392156865,0.9869281045751634,0.9934640522875817,5.604395604395604,4.065934065934066,0.8173668324304803,0.03871271360084047,0.6110217208555873,-0.08571204117495076,0.3357831029906802,0.6066106119520174,0.5840893003568967,23,0.6742363047141517
24,412027,E. Konsa,2399.0,82,0,0,0.6951219512195121,0.2682926829268293,1.0,1.0,3.0762817840766985,2.138390996248437,0.379956279584068,-0.05344598891761822,1.2961581059276701,0.6035634646002853,-1.248807882901791,-1.126332288403362,-0.07681772174991273,43,-0.2557448052364024
25,415917,Gabriel Magalhaes,2365.0,85,0,0,0.6470588235294118,0.27058823529411763,0.9647058823529412,1.0,3.234672304439746,2.0930232558139537,-0.3123234142909606,-0.01941816029541863,-0.5537101337669594,0.6035634646002853,-1.1495306316954181,-1.1671198095371573,-0.5843747347804673,56,-0.8602325267042626
26,258154,Rúben Dias,2276.0,79,0,0,0.6455696202531646,0.27848101265822783,0.9746835443037974,1.0,3.1239015817223197,2.016695957820738,-0.3337732291021277,0.09757942134388647,-0.030751601870167237,0.6035634646002853,-1.218960373073394,-1.2357412848446974,-0.46608213367779106,50,-0.5812381937190964
27,365443,M. de Ligt,2150.0,117,0,0,0.7094017094017094,0.2905982905982906,0.9743589743589743,1.0,4.897674418604652,3.4744186046511625,0.5856354997696726,0.2771983500983112,-0.047763264790652106,0.6035634646002853,-0.10718113839079278,0.07481314646252969,0.4457162616477867,28,0.44174102722651326
28,9097,L. Dunk,2102.0,72,0,0,0.625,0.2222222222222222,0.9722222222222222,1.0,3.082778306374881,1.9267364414843007,-0.6300487961813666,-0.73636560501594,-0.1597567123505118,0.6035634646002853,-1.244735941761083,-1.3166187021156166,-1.090782580743783,64,-1.2322249706844843
29,413002,K. Mavropanos,2046.0,104,1,0,0.6442307692307693,0.3942307692307692,0.9807692307692307,0.9903846153846154,4.574780058651027,2.9472140762463344,-0.3530574376102432,1.8133812195683465,0.288217077888927,-0.41046684678059087,-0.30956739492155727,-0.39916606515807407,0.7603956530923132,18,0.9067315822017903
30,400549,Pau Torres,2026.0,75,0,0,0.7733333333333333,0.3333333333333333,1.0,1.0,3.3316880552813424,2.5765054294175718,1.5064778829305598,0.9106758220447172,1.2961581059276701,0.6035634646002853,-1.0887223393481253,-0.7324488476419064,0.9752281598317369,12,1.1857259151869566
31,297957,M. Akanji,1974.0,84,1,0,0.5357142857142857,0.19047619047619047,0.9404761904761905,0.9880952380952381,3.829787234042553,2.0516717325227964,-1.916080103833008,-1.2069488698904134,-1.8236593618112904,-0.651902635204609,-0.776519833906383,-1.2042965812696709,-2.163180865018025,73,-1.6507164701622337
32,534563,C. Richards,1926.0,160,0,0,0.68125,0.3,0.98125,1.0,7.476635514018692,5.093457943925234,0.18015092763916773,0.41656339392652014,0.3134156035898954,0.6035634646002853,1.5092803009303861,1.5303981201610217,1.0787248267148883,8,1.3717221371770674
